Rank,Country,"GDP per person employed (current Intl. $)","GDP per capita (current Intl. $)", " Employed by total pop. (%)",Year,Rank
1, Luxembourg,"223,300","86,500",39,2011 est.,1
2, Liechtenstein,"149,900","139,500",93,2009,2
3, Qatar,"138,200","98,300",71,2011 est.,3
—, Bermuda,"119,800","68,900",57,2004 est.,—
4, United States,"107,900","48,400",45,2011 est.,4
5, Norway,"104,600","56,400",54,2011 est.,5
6, Austria,"101,400","42,800",42,2011 est.,6
7, Ireland,"99,800","38,900",39,2011 est.,7
8, Singapore,"99,800","59,900",60,2011 est.,8
9, Saudi Arabia,"99,500","25,900",26,2011 est.,9
—, Hong Kong,"98,000","49,200",50,2011 est.,—
10, Netherlands,"95,600","42,400",44,2011 est.,10
